,Rank,NOC,Gold,Silver,Bronze,Total,Year,Past_Gold,Past_Silver,Past_Bronze,Past_Total
366,28,NED,0,1,2,3,1960,0.0,5.0,0.0,5.0
367,28,RSA,0,1,2,3,1960,0.0,0.0,4.0,4.0
368,30,ARG,0,1,1,2,1960,0.0,1.0,1.0,2.0
369,30,EGY,0,1,1,2,1960,0.0,0.0,1.0,1.0
370,32,CAN,0,1,0,1,1960,2.0,1.0,3.0,6.0
371,32,TPE,0,1,0,1,1960,,,,
372,32,GHA,0,1,0,1,1960,,,,
373,32,IND,0,1,0,1,1960,1.0,0.0,0.0,1.0
374,32,MAR,0,1,0,1,1960,,,,
375,32,POR,0,1,0,1,1960,0.0,0.0,1.0,1.0
376,32,SGP,0,1,0,1,1960,,,,
377,39,BRA,0,0,2,2,1960,1.0,0.0,0.0,1.0
378,40,ESP,0,0,1,1,1960,0.0,1.0,0.0,1.0
379,40,IRQ,0,0,1,1,1960,,,,
380,40,MEX,0,0,1,1,1960,1.0,0.0,1.0,2.0
381,40,VEN,0,0,1,1,1960,0.0,0.0,1.0,1.0
382,1,USA,36,26,28,90,1964,34.0,21.0,16.0,71.0
383,2,URS,30,31,35,96,1964,43.0,29.0,31.0,103.0
384,3,JPN,16,5,8,29,1964,4.0,7.0,7.0,18.0
385,4,GER,10,22,18,50,1964,12.0,19.0,11.0,42.0
386,5,ITA,10,10,7,27,1964,13.0,10.0,13.0,36.0
387,6,HUN,10,7,5,22,1964,6.0,8.0,7.0,21.0
388,7,POL,7,6,10,23,1964,4.0,6.0,11.0,21.0
389,8,AUS,6,2,10,18,1964,8.0,8.0,6.0,22.0
390,9,TCH,5,6,3,14,1964,3.0,2.0,3.0,8.0
391,10,GBR,4,12,2,18,1964,2.0,6.0,14.0,22.0
392,11,BUL,3,5,2,10,1964,1.0,3.0,3.0,7.0
393,12,FIN,3,0,2,5,1964,1.0,1.0,3.0,5.0
394,12,NZL,3,0,2,5,1964,2.0,0.0,1.0,3.0
395,14,ROU,2,4,6,12,1964,3.0,1.0,6.0,10.0
396,15,NED,2,4,4,10,1964,0.0,1.0,2.0,3.0
397,16,TUR,2,3,1,6,1964,7.0,2.0,0.0,9.0
398,17,SWE,2,2,4,8,1964,1.0,2.0,3.0,6.0
399,18,DEN,2,1,3,6,1964,2.0,3.0,1.0,6.0
400,19,YUG,2,1,2,5,1964,1.0,1.0,0.0,2.0
401,20,BEL,2,0,1,3,1964,0.0,2.0,2.0,4.0
402,21,FRA,1,8,6,15,1964,0.0,2.0,3.0,5.0
403,22,CAN,1,2,1,4,1964,0.0,1.0,0.0,1.0
404,22,SUI,1,2,1,4,1964,0.0,3.0,3.0,6.0
405,24,BAH,1,0,0,1,1964,0.0,0.0,1.0,1.0
406,24,ETH,1,0,0,1,1964,1.0,0.0,0.0,1.0
407,24,IND,1,0,0,1,1964,0.0,1.0,0.0,1.0
408,27,KOR,0,2,1,3,1964,0.0,1.0,1.0,2.0
409,28,TTO,0,1,2,3,1964,0.0,0.0,2.0,2.0
410,29,TUN,0,1,1,2,1964,,,,
411,30,ARG,0,1,0,1,1964,0.0,1.0,1.0,2.0
412,30,CUB,0,1,0,1,1964,0.0,1.0,0.0,1.0
413,30,PAK,0,1,0,1,1964,1.0,0.0,1.0,2.0
414,30,PHI,0,1,0,1,1964,0.0,0.0,1.0,1.0
415,34,IRI,0,0,2,2,1964,0.0,1.0,3.0,4.0
416,35,BRA,0,0,1,1,1964,0.0,0.0,2.0,2.0
417,35,GHA,0,0,1,1,1964,0.0,1.0,0.0,1.0
418,35,IRL,0,0,1,1,1964,1.0,1.0,3.0,5.0
419,35,KEN,0,0,1,1,1964,,,,
420,35,MEX,0,0,1,1,1964,0.0,0.0,1.0,1.0
421,35,NGR,0,0,1,1,1964,,,,
422,35,URU,0,0,1,1,1964,0.0,0.0,1.0,1.0
423,1,USA,45,28,34,107,1968,36.0,26.0,28.0,90.0
424,2,URS,29,32,30,91,1968,30.0,31.0,35.0,96.0
425,3,JPN,11,7,7,25,1968,16.0,5.0,8.0,29.0
426,4,HUN,10,10,12,32,1968,10.0,7.0,5.0,22.0
427,5,GDR,9,9,7,25,1968,,,,
428,6,FRA,7,3,5,15,1968,1.0,8.0,6.0,15.0
429,7,TCH,7,2,4,13,1968,5.0,6.0,3.0,14.0
430,8,FRG,5,11,10,26,1968,,,,
431,9,AUS,5,7,5,17,1968,6.0,2.0,10.0,18.0
432,10,GBR,5,5,3,13,1968,4.0,12.0,2.0,18.0
433,11,POL,5,2,11,18,1968,7.0,6.0,10.0,23.0
434,12,ROU,4,6,5,15,1968,2.0,4.0,6.0,12.0
435,13,ITA,3,4,9,16,1968,10.0,10.0,7.0,27.0
436,14,KEN,3,4,2,9,1968,0.0,0.0,1.0,1.0
437,15,MEX,3,3,3,9,1968,0.0,0.0,1.0,1.0
438,16,YUG,3,3,2,8,1968,2.0,1.0,2.0,5.0
439,17,NED,3,3,1,7,1968,2.0,4.0,4.0,10.0
440,18,BUL,2,4,3,9,1968,3.0,5.0,2.0,10.0
441,19,IRI,2,1,2,5,1968,0.0,0.0,2.0,2.0
442,20,SWE,2,1,1,4,1968,2.0,2.0,4.0,8.0
443,21,TUR,2,0,0,2,1968,2.0,3.0,1.0,6.0
444,22,DEN,1,4,3,8,1968,2.0,1.0,3.0,6.0
445,23,CAN,1,3,1,5,1968,1.0,2.0,1.0,4.0
446,24,FIN,1,2,1,4,1968,3.0,0.0,2.0,5.0
447,25,ETH,1,1,0,2,1968,1.0,0.0,0.0,1.0
448,25,NOR,1,1,0,2,1968,1.0,0.0,0.0,1.0
449,27,NZL,1,0,2,3,1968,3.0,0.0,2.0,5.0
450,28,TUN,1,0,1,2,1968,0.0,1.0,1.0,2.0
451,29,PAK,1,0,0,1,1968,0.0,1.0,0.0,1.0
452,29,VEN,1,0,0,1,1968,0.0,0.0,1.0,1.0
453,31,CUB,0,4,0,4,1968,0.0,1.0,0.0,1.0
454,32,AUT,0,2,2,4,1968,1.0,1.0,0.0,2.0
455,33,SUI,0,1,4,5,1968,1.0,2.0,1.0,4.0
456,34,MGL,0,1,3,4,1968,,,,
457,35,BRA,0,1,2,3,1968,0.0,0.0,1.0,1.0
458,36,BEL,0,1,1,2,1968,2.0,0.0,1.0,3.0
459,36,KOR,0,1,1,2,1968,0.0,2.0,1.0,3.0
460,36,UGA,0,1,1,2,1968,,,,
461,39,CMR,0,1,0,1,1968,,,,
462,39,JAM,0,1,0,1,1968,2.0,3.0,0.0,5.0
463,41,ARG,0,0,2,2,1968,0.0,1.0,0.0,1.0
464,42,GRE,0,0,1,1,1968,1.0,0.0,0.0,1.0
465,42,IND,0,0,1,1,1968,1.0,0.0,0.0,1.0
466,42,TPE,0,0,1,1,1968,0.0,1.0,0.0,1.0
467,1,URS,50,27,22,99,1972,29.0,32.0,30.0,91.0
468,2,USA,33,31,30,94,1972,45.0,28.0,34.0,107.0
469,3,GDR,20,23,23,66,1972,9.0,9.0,7.0,25.0
470,4,FRG,13,11,16,40,1972,5.0,11.0,10.0,26.0
471,5,JPN,13,8,8,29,1972,11.0,7.0,7.0,25.0
472,6,AUS,8,7,2,17,1972,5.0,7.0,5.0,17.0
473,7,POL,7,5,9,21,1972,5.0,2.0,11.0,18.0
474,8,HUN,6,13,16,35,1972,10.0,10.0,12.0,32.0
475,9,BUL,6,10,5,21,1972,2.0,4.0,3.0,9.0
476,10,ITA,5,3,10,18,1972,3.0,4.0,9.0,16.0
477,11,SWE,4,6,6,16,1972,2.0,1.0,1.0,4.0
478,12,GBR,4,5,9,18,1972,5.0,5.0,3.0,13.0
479,13,ROU,3,6,7,16,1972,4.0,6.0,5.0,15.0
480,14,CUB,3,1,4,8,1972,0.0,4.0,0.0,4.0
481,14,FIN,3,1,4,8,1972,1.0,2.0,1.0,4.0
482,16,NED,3,1,1,5,1972,3.0,3.0,1.0,7.0
483,17,FRA,2,4,7,13,1972,7.0,3.0,5.0,15.0
484,18,TCH,2,4,2,8,1972,7.0,2.0,4.0,13.0
485,19,KEN,2,3,4,9,1972,3.0,4.0,2.0,9.0
486,20,YUG,2,1,2,5,1972,3.0,3.0,2.0,8.0
487,21,NOR,2,1,1,4,1972,1.0,1.0,0.0,2.0
488,22,PRK,1,1,3,5,1972,,,,
489,23,NZL,1,1,1,3,1972,1.0,0.0,2.0,3.0
490,24,UGA,1,1,0,2,1972,0.0,1.0,1.0,2.0
491,25,DEN,1,0,0,1,1972,1.0,4.0,3.0,8.0
492,26,SUI,0,3,0,3,1972,0.0,1.0,4.0,5.0
493,27,CAN,0,2,3,5,1972,1.0,3.0,1.0,5.0
494,28,IRI,0,2,1,3,1972,2.0,1.0,2.0,5.0
495,29,BEL,0,2,0,2,1972,0.0,1.0,1.0,2.0
496,29,GRE,0,2,0,2,1972,0.0,0.0,1.0,1.0
497,31,AUT,0,1,2,3,1972,0.0,2.0,2.0,4.0
498,31,COL,0,1,2,3,1972,,,,
499,33,ARG,0,1,0,1,1972,0.0,0.0,2.0,2.0
500,33,KOR,0,1,0,1,1972,0.0,1.0,1.0,2.0
501,33,LBN,0,1,0,1,1972,0.0,1.0,1.0,2.0
502,33,MEX,0,1,0,1,1972,3.0,3.0,3.0,9.0
503,33,MGL,0,1,0,1,1972,0.0,1.0,3.0,4.0
504,33,PAK,0,1,0,1,1972,1.0,0.0,0.0,1.0
505,33,TUN,0,1,0,1,1972,1.0,0.0,1.0,2.0
506,33,TUR,0,1,0,1,1972,2.0,0.0,0.0,2.0
507,41,BRA,0,0,2,2,1972,0.0,1.0,2.0,3.0
508,41,ETH,0,0,2,2,1972,1.0,1.0,0.0,2.0
509,43,ESP,0,0,1,1,1972,0.0,0.0,1.0,1.0
510,43,GHA,0,0,1,1,1972,0.0,0.0,1.0,1.0
511,43,IND,0,0,1,1,1972,0.0,0.0,1.0,1.0
512,43,JAM,0,0,1,1,1972,0.0,1.0,0.0,1.0
513,43,NGR,0,0,1,1,1972,0.0,0.0,1.0,1.0
514,43,NIG,0,0,1,1,1972,,,,
515,1,URS,49,41,35,125,1976,50.0,27.0,22.0,99.0
516,2,GDR,40,25,25,90,1976,20.0,23.0,23.0,66.0
517,3,USA,34,35,25,94,1976,33.0,31.0,30.0,94.0
518,4,FRG,10,12,17,39,1976,13.0,11.0,16.0,40.0
519,5,JPN,9,6,10,25,1976,13.0,8.0,8.0,29.0
520,6,POL,7,6,13,26,1976,7.0,5.0,9.0,21.0
521,7,BUL,6,9,7,22,1976,6.0,10.0,5.0,21.0
522,8,CUB,6,4,3,13,1976,3.0,1.0,4.0,8.0
523,9,ROU,4,9,14,27,1976,3.0,6.0,7.0,16.0
524,10,HUN,4,5,13,22,1976,6.0,13.0,16.0,35.0
525,11,FIN,4,2,0,6,1976,3.0,1.0,4.0,8.0
526,12,SWE,4,1,0,5,1976,4.0,6.0,6.0,16.0
527,13,GBR,3,5,5,13,1976,4.0,5.0,9.0,18.0
528,14,ITA,2,7,4,13,1976,5.0,3.0,10.0,18.0
529,15,FRA,2,3,4,9,1976,2.0,4.0,7.0,13.0
530,16,YUG,2,3,3,8,1976,2.0,1.0,2.0,5.0
531,17,TCH,2,2,4,8,1976,2.0,4.0,2.0,8.0
532,18,NZL,2,1,1,4,1976,1.0,1.0,1.0,3.0
533,19,KOR,1,1,4,6,1976,0.0,1.0,0.0,1.0
534,20,SUI,1,1,2,4,1976,0.0,3.0,0.0,3.0
535,21,JAM,1,1,0,2,1976,0.0,0.0,1.0,1.0
536,21,NOR,1,1,0,2,1976,2.0,1.0,1.0,4.0
537,21,PRK,1,1,0,2,1976,1.0,1.0,3.0,5.0
538,24,DEN,1,0,2,3,1976,1.0,0.0,0.0,1.0
539,25,MEX,1,0,1,2,1976,0.0,1.0,0.0,1.0
540,26,TTO,1,0,0,1,1976,0.0,1.0,2.0,3.0
541,27,CAN,0,5,6,11,1976,0.0,2.0,3.0,5.0
542,28,BEL,0,3,3,6,1976,0.0,2.0,0.0,2.0
543,29,NED,0,2,3,5,1976,3.0,1.0,1.0,5.0
544,30,ESP,0,2,0,2,1976,0.0,0.0,1.0,1.0
545,30,POR,0,2,0,2,1976,0.0,1.0,0.0,1.0
546,32,AUS,0,1,4,5,1976,8.0,7.0,2.0,17.0
547,33,IRI,0,1,1,2,1976,0.0,2.0,1.0,3.0
548,34,MGL,0,1,0,1,1976,0.0,1.0,0.0,1.0
549,34,VEN,0,1,0,1,1976,1.0,0.0,0.0,1.0
550,36,BRA,0,0,2,2,1976,0.0,0.0,2.0,2.0
551,37,AUT,0,0,1,1,1976,0.0,1.0,2.0,3.0
552,37,BER,0,0,1,1,1976,,,,
553,37,PAK,0,0,1,1,1976,0.0,1.0,0.0,1.0
554,37,PUR,0,0,1,1,1976,0.0,0.0,1.0,1.0
555,37,THA,0,0,1,1,1976,,,,
556,1,URS,80,69,46,195,1980,49.0,41.0,35.0,125.0
557,2,GDR,47,37,42,126,1980,40.0,25.0,25.0,90.0
558,3,BUL,8,16,17,41,1980,6.0,9.0,7.0,22.0
559,4,CUB,8,7,5,20,1980,6.0,4.0,3.0,13.0
560,5,ITA,8,3,4,15,1980,2.0,7.0,4.0,13.0
561,6,HUN,7,10,15,32,1980,4.0,5.0,13.0,22.0
562,7,ROU,6,6,13,25,1980,4.0,9.0,14.0,27.0
563,8,FRA,6,5,3,14,1980,2.0,3.0,4.0,9.0
564,9,GBR,5,7,9,21,1980,3.0,5.0,5.0,13.0
565,10,POL,3,14,15,32,1980,7.0,6.0,13.0,26.0
566,11,SWE,3,3,6,12,1980,4.0,1.0,0.0,5.0
567,12,FIN,3,1,4,8,1980,4.0,2.0,0.0,6.0
568,13,TCH,2,3,9,14,1980,2.0,2.0,4.0,8.0
569,14,YUG,2,3,4,9,1980,2.0,3.0,3.0,8.0
570,15,AUS,2,2,5,9,1980,0.0,1.0,4.0,5.0
571,16,DEN,2,1,2,5,1980,1.0,0.0,2.0,3.0
572,17,BRA,2,0,2,4,1980,0.0,0.0,2.0,2.0
573,17,ETH,2,0,2,4,1980,0.0,0.0,2.0,2.0
574,19,SUI,2,0,0,2,1980,1.0,1.0,2.0,4.0
575,20,ESP,1,3,2,6,1980,0.0,2.0,0.0,2.0
576,21,AUT,1,2,1,4,1980,0.0,0.0,1.0,1.0
577,22,GRE,1,0,2,3,1980,0.0,2.0,0.0,2.0
578,23,BEL,1,0,0,1,1980,0.0,3.0,3.0,6.0
579,23,IND,1,0,0,1,1980,0.0,0.0,1.0,1.0
580,23,ZIM,1,0,0,1,1980,,,,
581,26,PRK,0,3,2,5,1980,1.0,1.0,0.0,2.0
582,27,MGL,0,2,2,4,1980,0.0,1.0,0.0,1.0
583,28,TAN,0,2,0,2,1980,,,,
584,29,MEX,0,1,3,4,1980,1.0,0.0,1.0,2.0
585,30,NED,0,1,2,3,1980,0.0,2.0,3.0,5.0
586,31,IRL,0,1,1,2,1980,0.0,0.0,1.0,1.0
587,32,UGA,0,1,0,1,1980,1.0,1.0,0.0,2.0
588,32,VEN,0,1,0,1,1980,0.0,1.0,0.0,1.0
589,34,JAM,0,0,3,3,1980,1.0,1.0,0.0,2.0
590,35,GUY,0,0,1,1,1980,,,,
591,35,LBN,0,0,1,1,1980,0.0,1.0,0.0,1.0
592,1,USA,83,61,30,174,1984,34.0,35.0,25.0,94.0
593,2,ROU,20,16,17,53,1984,6.0,6.0,13.0,25.0
594,3,FRG,17,19,23,59,1984,10.0,12.0,17.0,39.0
595,4,CHN,15,8,9,32,1984,,,,
596,5,ITA,14,6,12,32,1984,8.0,3.0,4.0,15.0
597,6,CAN,10,18,16,44,1984,0.0,5.0,6.0,11.0
598,7,JPN,10,8,14,32,1984,9.0,6.0,10.0,25.0
599,8,NZL,8,1,2,11,1984,2.0,1.0,1.0,4.0
600,9,YUG,7,4,7,18,1984,2.0,3.0,4.0,9.0
601,10,KOR,6,6,7,19,1984,1.0,1.0,4.0,6.0
602,11,GBR,5,11,21,37,1984,5.0,7.0,9.0,21.0
603,12,FRA,5,7,16,28,1984,6.0,5.0,3.0,14.0
604,13,NED,5,2,6,13,1984,0.0,1.0,2.0,3.0
605,14,AUS,4,8,12,24,1984,2.0,2.0,5.0,9.0
606,15,FIN,4,2,6,12,1984,3.0,1.0,4.0,8.0
607,16,SWE,2,11,6,19,1984,3.0,3.0,6.0,12.0
608,17,MEX,2,3,1,6,1984,0.0,1.0,3.0,4.0
609,18,MAR,2,0,0,2,1984,0.0,1.0,0.0,1.0
610,19,BRA,1,5,2,8,1984,2.0,0.0,2.0,4.0
611,20,ESP,1,2,2,5,1984,1.0,3.0,2.0,6.0
612,21,BEL,1,1,2,4,1984,1.0,0.0,0.0,1.0
613,22,AUT,1,1,1,3,1984,1.0,2.0,1.0,4.0
614,23,KEN,1,0,2,3,1984,2.0,3.0,4.0,9.0
615,23,POR,1,0,2,3,1984,0.0,2.0,0.0,2.0
616,25,PAK,1,0,0,1,1984,0.0,0.0,1.0,1.0
617,26,SUI,0,4,4,8,1984,2.0,0.0,0.0,2.0
618,27,DEN,0,3,3,6,1984,2.0,1.0,2.0,5.0
619,28,JAM,0,1,2,3,1984,0.0,0.0,3.0,3.0
620,28,NOR,0,1,2,3,1984,1.0,1.0,0.0,2.0
621,30,GRE,0,1,1,2,1984,1.0,0.0,2.0,3.0
622,30,NGR,0,1,1,2,1984,0.0,0.0,1.0,1.0
623,30,PUR,0,1,1,2,1984,0.0,0.0,1.0,1.0
624,33,CIV,0,1,0,1,1984,,,,
625,33,COL,0,1,0,1,1984,0.0,1.0,2.0,3.0
626,33,EGY,0,1,0,1,1984,0.0,1.0,1.0,2.0
627,33,IRL,0,1,0,1,1984,0.0,1.0,1.0,2.0
628,33,PER,0,1,0,1,1984,1.0,0.0,0.0,1.0
629,33,SYR,0,1,0,1,1984,,,,
630,33,THA,0,1,0,1,1984,0.0,0.0,1.0,1.0
631,40,TUR,0,0,3,3,1984,0.0,1.0,0.0,1.0
632,40,VEN,0,0,3,3,1984,0.0,1.0,0.0,1.0
633,42,ALG,0,0,2,2,1984,,,,
634,43,CMR,0,0,1,1,1984,0.0,1.0,0.0,1.0
635,43,DOM,0,0,1,1,1984,,,,
636,43,ISL,0,0,1,1,1984,0.0,1.0,0.0,1.0
637,43,TPE,0,0,1,1,1984,0.0,0.0,1.0,1.0
638,43,ZAM,0,0,1,1,1984,,,,
639,1,URS,55,31,46,132,1988,80.0,69.0,46.0,195.0
640,2,GDR,37,35,30,102,1988,47.0,37.0,42.0,126.0
641,3,USA,36,31,27,94,1988,83.0,61.0,30.0,174.0
642,4,KOR,12,10,11,33,1988,6.0,6.0,7.0,19.0
643,5,FRG,11,14,15,40,1988,17.0,19.0,23.0,59.0
644,6,HUN,11,6,6,23,1988,7.0,10.0,15.0,32.0
645,7,BUL,10,12,13,35,1988,8.0,16.0,17.0,41.0
646,8,ROU,7,11,6,24,1988,20.0,16.0,17.0,53.0
647,9,FRA,6,4,6,16,1988,5.0,7.0,16.0,28.0
648,10,ITA,6,4,4,14,1988,14.0,6.0,12.0,32.0
649,11,CHN,5,11,12,28,1988,15.0,8.0,9.0,32.0
650,12,GBR,5,10,9,24,1988,5.0,11.0,21.0,37.0
651,13,KEN,5,2,2,9,1988,1.0,0.0,2.0,3.0
652,14,JPN,4,3,7,14,1988,10.0,8.0,14.0,32.0
653,15,AUS,3,6,5,14,1988,4.0,8.0,12.0,24.0
654,16,YUG,3,4,5,12,1988,7.0,4.0,7.0,18.0
655,17,TCH,3,3,2,8,1988,2.0,3.0,9.0,14.0
656,18,NZL,3,2,8,13,1988,8.0,1.0,2.0,11.0
657,19,CAN,3,2,5,10,1988,10.0,18.0,16.0,44.0
658,20,POL,2,5,9,16,1988,3.0,14.0,15.0,32.0
659,21,NOR,2,3,0,5,1988,0.0,1.0,2.0,3.0
660,22,NED,2,2,5,9,1988,5.0,2.0,6.0,13.0
661,23,DEN,2,1,1,4,1988,0.0,3.0,3.0,6.0
662,24,BRA,1,2,3,6,1988,1.0,5.0,2.0,8.0
663,25,ESP,1,1,2,4,1988,1.0,2.0,2.0,5.0
664,25,FIN,1,1,2,4,1988,4.0,2.0,6.0,12.0
665,27,TUR,1,1,0,2,1988,0.0,0.0,3.0,3.0
666,28,MAR,1,0,2,3,1988,2.0,0.0,0.0,2.0
667,29,AUT,1,0,0,1,1988,1.0,1.0,1.0,3.0
668,29,POR,1,0,0,1,1988,1.0,0.0,2.0,3.0
669,29,SUR,1,0,0,1,1988,,,,
670,32,SWE,0,4,7,11,1988,2.0,11.0,6.0,19.0
671,33,SUI,0,2,2,4,1988,0.0,4.0,4.0,8.0
672,34,JAM,0,2,0,2,1988,0.0,1.0,2.0,3.0
673,35,ARG,0,1,1,2,1988,0.0,1.0,0.0,1.0
674,36,AHO,0,1,0,1,1988,,,,
675,36,CHI,0,1,0,1,1988,0.0,2.0,2.0,4.0
676,36,CRC,0,1,0,1,1988,,,,
677,36,INA,0,1,0,1,1988,,,,
678,36,IRI,0,1,0,1,1988,0.0,1.0,1.0,2.0
679,36,ISV,0,1,0,1,1988,,,,
680,36,PER,0,1,0,1,1988,0.0,1.0,0.0,1.0
681,36,SEN,0,1,0,1,1988,,,,
682,44,BEL,0,0,2,2,1988,1.0,1.0,2.0,4.0
683,44,MEX,0,0,2,2,1988,2.0,3.0,1.0,6.0
684,46,COL,0,0,1,1,1988,0.0,1.0,0.0,1.0
685,46,DJI,0,0,1,1,1988,,,,
686,46,GRE,0,0,1,1,1988,0.0,1.0,1.0,2.0
687,46,MGL,0,0,1,1,1988,0.0,2.0,2.0,4.0
688,46,PAK,0,0,1,1,1988,1.0,0.0,0.0,1.0
689,46,PHI,0,0,1,1,1988,0.0,1.0,0.0,1.0
690,46,THA,0,0,1,1,1988,0.0,1.0,0.0,1.0
691,1,EUN,45,38,29,112,1992,,,,
692,2,USA,37,34,37,108,1992,36.0,31.0,27.0,94.0
693,3,GER,33,21,28,82,1992,10.0,22.0,18.0,50.0
694,4,CHN,16,22,16,54,1992,5.0,11.0,12.0,28.0
695,5,CUB,14,6,11,31,1992,8.0,7.0,5.0,20.0
696,6,ESP,13,7,2,22,1992,1.0,1.0,2.0,4.0
697,7,KOR,12,5,12,29,1992,12.0,10.0,11.0,33.0
698,8,HUN,11,12,7,30,1992,11.0,6.0,6.0,23.0
699,9,FRA,8,5,16,29,1992,6.0,4.0,6.0,16.0
700,10,AUS,7,9,11,27,1992,3.0,6.0,5.0,14.0
701,11,CAN,7,4,7,18,1992,3.0,2.0,5.0,10.0
702,12,ITA,6,5,8,19,1992,6.0,4.0,4.0,14.0
703,13,GBR,5,3,12,20,1992,5.0,10.0,9.0,24.0
704,14,ROU,4,6,8,18,1992,7.0,11.0,6.0,24.0
705,15,TCH,4,2,1,7,1992,3.0,3.0,2.0,8.0
706,16,PRK,4,0,5,9,1992,0.0,3.0,2.0,5.0
707,17,JPN,3,8,11,22,1992,4.0,3.0,7.0,14.0
708,18,BUL,3,7,6,16,1992,10.0,12.0,13.0,35.0
709,19,POL,3,6,10,19,1992,2.0,5.0,9.0,16.0
710,20,NED,2,6,7,15,1992,2.0,2.0,5.0,9.0
711,21,KEN,2,4,2,8,1992,5.0,2.0,2.0,9.0
712,22,NOR,2,4,1,7,1992,2.0,3.0,0.0,5.0
713,23,TUR,2,2,2,6,1992,1.0,1.0,0.0,2.0
714,24,INA,2,2,1,5,1992,0.0,1.0,0.0,1.0
715,25,BRA,2,1,0,3,1992,1.0,2.0,3.0,6.0
716,26,GRE,2,0,0,2,1992,0.0,0.0,1.0,1.0
717,27,SWE,1,7,4,12,1992,0.0,4.0,7.0,11.0
718,28,NZL,1,4,5,10,1992,3.0,2.0,8.0,13.0
719,29,FIN,1,2,2,5,1992,1.0,1.0,2.0,4.0
720,30,DEN,1,1,4,6,1992,2.0,1.0,1.0,4.0
721,31,MAR,1,1,1,3,1992,1.0,0.0,2.0,3.0
722,32,IRL,1,1,0,2,1992,0.0,1.0,0.0,1.0
723,33,ETH,1,0,2,3,1992,2.0,0.0,2.0,4.0
