,Rank,NOC,Gold,Silver,Bronze,Total,Year,Past_Gold,Past_Silver,Past_Bronze,Past_Total
1081,8,AUS,8,15,12,35,2012,14.0,15.0,17.0,46.0
1082,9,ITA,8,9,11,28,2012,8.0,9.0,10.0,27.0
1083,10,HUN,8,4,6,18,2012,3.0,5.0,2.0,10.0
1084,11,JPN,7,14,17,38,2012,9.0,8.0,8.0,25.0
1085,12,IRI,7,5,1,13,2012,1.0,0.0,1.0,2.0
1086,13,NED,6,6,8,20,2012,7.0,5.0,4.0,16.0
1087,14,NZL,6,2,5,13,2012,3.0,2.0,4.0,9.0
1088,15,UKR,5,4,10,19,2012,7.0,4.0,11.0,22.0
1089,16,CUB,5,3,7,15,2012,3.0,10.0,17.0,30.0
1090,17,ESP,4,10,6,20,2012,5.0,11.0,3.0,19.0
1091,18,JAM,4,5,4,13,2012,5.0,4.0,2.0,11.0
1092,19,CZE,4,4,3,11,2012,3.0,3.0,1.0,7.0
1093,20,RSA,4,1,1,6,2012,0.0,1.0,0.0,1.0
1094,21,PRK,4,0,2,6,2012,2.0,2.0,2.0,6.0
1095,22,BRA,3,5,9,17,2012,3.0,4.0,10.0,17.0
1096,23,KAZ,3,2,6,11,2012,2.0,3.0,4.0,9.0
1097,23,POL,3,2,6,11,2012,4.0,5.0,2.0,11.0
1098,25,ETH,3,2,3,8,2012,4.0,2.0,1.0,7.0
1099,26,CRO,3,1,2,6,2012,0.0,2.0,3.0,5.0
1100,27,CAN,2,6,10,18,2012,3.0,9.0,8.0,20.0
1101,28,BLR,2,5,3,10,2012,3.0,4.0,7.0,14.0
1102,29,KEN,2,4,7,13,2012,6.0,4.0,6.0,16.0
1103,30,DEN,2,4,3,9,2012,2.0,2.0,3.0,7.0
1104,31,ROU,2,4,1,7,2012,4.0,1.0,4.0,9.0
1105,32,AZE,2,2,5,9,2012,1.0,1.0,4.0,6.0
1106,33,SUI,2,2,0,4,2012,2.0,1.0,4.0,7.0
1107,34,NOR,2,1,1,4,2012,3.0,5.0,1.0,9.0
1108,35,LTU,2,0,3,5,2012,0.0,3.0,2.0,5.0
1109,36,TUN,2,0,1,3,2012,1.0,0.0,0.0,1.0
1110,37,SWE,1,4,3,8,2012,0.0,4.0,1.0,5.0
1111,38,COL,1,3,5,9,2012,0.0,2.0,1.0,3.0
1112,39,MEX,1,3,4,8,2012,2.0,0.0,2.0,4.0
1113,40,GEO,1,2,3,6,2012,3.0,2.0,2.0,7.0
1114,41,IRL,1,1,4,6,2012,0.0,1.0,2.0,3.0
1115,42,ARG,1,1,2,4,2012,2.0,0.0,4.0,6.0
1116,42,SLO,1,1,2,4,2012,1.0,2.0,2.0,5.0
1117,42,SRB,1,1,2,4,2012,0.0,1.0,2.0,3.0
1118,42,TTO,1,1,2,4,2012,1.0,1.0,0.0,2.0
1119,46,TUR,1,1,1,3,2012,1.0,1.0,3.0,5.0
1120,47,DOM,1,1,0,2,2012,1.0,1.0,0.0,2.0
1121,48,LAT,1,0,1,2,2012,1.0,1.0,1.0,3.0
1122,48,TPE,1,0,1,2,2012,1.0,1.0,2.0,4.0
1123,50,ALG,1,0,0,1,2012,0.0,1.0,1.0,2.0
1124,50,BAH,1,0,0,1,2012,0.0,1.0,1.0,2.0
1125,50,BRN,1,0,0,1,2012,,,,
1126,50,GRN,1,0,0,1,2012,,,,
1127,50,UGA,1,0,0,1,2012,0.0,0.0,1.0,1.0
1128,50,VEN,1,0,0,1,2012,0.0,0.0,1.0,1.0
1129,56,EGY,0,3,1,4,2012,0.0,0.0,2.0,2.0
1130,57,IND,0,2,4,6,2012,1.0,0.0,2.0,3.0
1131,58,MGL,0,2,3,5,2012,2.0,2.0,0.0,4.0
1132,59,THA,0,2,2,4,2012,2.0,2.0,2.0,6.0
1133,60,BUL,0,2,1,3,2012,1.0,1.0,3.0,5.0
1134,60,FIN,0,2,1,3,2012,1.0,1.0,2.0,4.0
1135,60,INA,0,2,1,3,2012,1.0,1.0,4.0,6.0
1136,63,SVK,0,1,3,4,2012,3.0,3.0,0.0,6.0
1137,64,BEL,0,1,2,3,2012,2.0,0.0,0.0,2.0
1138,65,ARM,0,1,1,2,2012,0.0,1.0,4.0,5.0
1139,65,EST,0,1,1,2,2012,1.0,1.0,0.0,2.0
1140,65,MAS,0,1,1,2,2012,0.0,1.0,0.0,1.0
1141,65,PUR,0,1,1,2,2012,0.0,0.0,1.0,1.0
1142,65,QAT,0,1,1,2,2012,0.0,0.0,1.0,1.0
1143,70,BOT,0,1,0,1,2012,,,,
1144,70,CYP,0,1,0,1,2012,,,,
1145,70,GAB,0,1,0,1,2012,,,,
1146,70,GUA,0,1,0,1,2012,,,,
1147,70,MNE,0,1,0,1,2012,,,,
1148,70,POR,0,1,0,1,2012,1.0,1.0,0.0,2.0
1149,76,UZB,0,0,3,3,2012,0.0,1.0,3.0,4.0
1150,77,GRE,0,0,2,2,2012,0.0,2.0,1.0,3.0
1151,77,SGP,0,0,2,2,2012,0.0,1.0,0.0,1.0
1152,79,AFG,0,0,1,1,2012,0.0,0.0,1.0,1.0
1153,79,CMR,0,0,1,1,2012,1.0,0.0,0.0,1.0
1154,79,HKG,0,0,1,1,2012,0.0,1.0,0.0,1.0
1155,79,KSA,0,0,1,1,2012,0.0,1.0,1.0,2.0
1156,79,KUW,0,0,1,1,2012,0.0,0.0,1.0,1.0
1157,79,MAR,0,0,1,1,2012,0.0,1.0,1.0,2.0
1158,79,TJK,0,0,1,1,2012,0.0,1.0,1.0,2.0
1159,79,VIE,0,0,1,1,2012,0.0,1.0,0.0,1.0
1160,1,USA,46,37,38,121,2016,48.0,26.0,30.0,104.0
1161,2,GBR,27,23,17,67,2016,29.0,18.0,18.0,65.0
1162,3,CHN,26,18,26,70,2016,39.0,31.0,22.0,92.0
1163,4,RUS,19,17,20,56,2016,18.0,21.0,26.0,65.0
1164,5,GER,17,10,15,42,2016,11.0,20.0,13.0,44.0
1165,6,JPN,12,8,21,41,2016,7.0,14.0,17.0,38.0
1166,7,FRA,10,18,14,42,2016,11.0,11.0,13.0,35.0
1167,8,KOR,9,3,9,21,2016,13.0,9.0,9.0,31.0
1168,9,ITA,8,12,8,28,2016,8.0,9.0,11.0,28.0
1169,10,AUS,8,11,10,29,2016,8.0,15.0,12.0,35.0
1170,11,NED,8,7,4,19,2016,6.0,6.0,8.0,20.0
1171,12,HUN,8,3,4,15,2016,8.0,4.0,6.0,18.0
1172,13,BRA,7,6,6,19,2016,3.0,5.0,9.0,17.0
1173,14,ESP,7,4,6,17,2016,4.0,10.0,6.0,20.0
1174,15,KEN,6,6,1,13,2016,2.0,4.0,7.0,13.0
1175,16,JAM,6,3,2,11,2016,4.0,5.0,4.0,13.0
1176,17,CRO,5,3,2,10,2016,3.0,1.0,2.0,6.0
1177,18,CUB,5,2,4,11,2016,5.0,3.0,7.0,15.0
1178,19,NZL,4,9,5,18,2016,6.0,2.0,5.0,13.0
1179,20,CAN,4,3,15,22,2016,2.0,6.0,10.0,18.0
1180,21,UZB,4,2,7,13,2016,0.0,0.0,3.0,3.0
1181,22,COL,3,2,3,8,2016,1.0,3.0,5.0,9.0
1182,23,SUI,3,2,2,7,2016,2.0,2.0,0.0,4.0
1183,24,IRI,3,1,4,8,2016,7.0,5.0,1.0,13.0
1184,25,GRE,3,1,2,6,2016,0.0,0.0,2.0,2.0
1185,26,ARG,3,1,0,4,2016,1.0,1.0,2.0,4.0
1186,27,DEN,2,6,7,15,2016,2.0,4.0,3.0,9.0
1187,28,SWE,2,6,3,11,2016,1.0,4.0,3.0,8.0
1188,29,RSA,2,6,2,10,2016,4.0,1.0,1.0,6.0
1189,30,KAZ,2,5,10,17,2016,3.0,2.0,6.0,11.0
1190,31,UKR,2,5,4,11,2016,5.0,4.0,10.0,19.0
1191,32,SRB,2,4,2,8,2016,1.0,1.0,2.0,4.0
1192,33,POL,2,3,6,11,2016,3.0,2.0,6.0,11.0
1193,34,PRK,2,3,2,7,2016,4.0,0.0,2.0,6.0
1194,35,BEL,2,2,2,6,2016,0.0,1.0,2.0,3.0
1195,35,THA,2,2,2,6,2016,0.0,2.0,2.0,4.0
1196,37,SVK,2,2,0,4,2016,0.0,1.0,3.0,4.0
1197,38,GEO,2,1,4,7,2016,1.0,2.0,3.0,6.0
1198,39,AZE,1,7,10,18,2016,2.0,2.0,5.0,9.0
1199,40,BLR,1,4,4,9,2016,2.0,5.0,3.0,10.0
1200,41,TUR,1,3,4,8,2016,1.0,1.0,1.0,3.0
1201,42,ARM,1,3,0,4,2016,0.0,1.0,1.0,2.0
1202,43,CZE,1,2,7,10,2016,4.0,4.0,3.0,11.0
1203,44,ETH,1,2,5,8,2016,3.0,2.0,3.0,8.0
1204,45,SLO,1,2,1,4,2016,1.0,1.0,2.0,4.0
1205,46,INA,1,2,0,3,2016,0.0,2.0,1.0,3.0
1206,47,ROU,1,1,2,4,2016,2.0,4.0,1.0,7.0
1207,48,BRN,1,1,0,2,2016,1.0,0.0,0.0,1.0
1208,48,VIE,1,1,0,2,2016,0.0,0.0,1.0,1.0
1209,50,TPE,1,0,2,3,2016,1.0,0.0,1.0,2.0
1210,51,BAH,1,0,1,2,2016,1.0,0.0,0.0,1.0
1211,51,CIV,1,0,1,2,2016,0.0,1.0,0.0,1.0
1212,54,FIJ,1,0,0,1,2016,,,,
1213,54,JOR,1,0,0,1,2016,,,,
1214,54,KOS,1,0,0,1,2016,,,,
1215,54,PUR,1,0,0,1,2016,0.0,1.0,1.0,2.0
1216,54,SGP,1,0,0,1,2016,0.0,0.0,2.0,2.0
1217,54,TJK,1,0,0,1,2016,0.0,0.0,1.0,1.0
1218,60,MAS,0,4,1,5,2016,0.0,1.0,1.0,2.0
1219,61,MEX,0,3,2,5,2016,1.0,3.0,4.0,8.0
1220,62,VEN,0,2,1,3,2016,1.0,0.0,0.0,1.0
1221,63,ALG,0,2,0,2,2016,1.0,0.0,0.0,1.0
1222,63,IRL,0,2,0,2,2016,1.0,1.0,4.0,6.0
1223,65,LTU,0,1,3,4,2016,2.0,0.0,3.0,5.0
1224,66,BUL,0,1,2,3,2016,0.0,2.0,1.0,3.0
1225,67,IND,0,1,1,2,2016,0.0,2.0,4.0,6.0
1226,67,MGL,0,1,1,2,2016,0.0,2.0,3.0,5.0
1227,69,BDI,0,1,0,1,2016,1.0,0.0,0.0,1.0
1228,69,GRN,0,1,0,1,2016,1.0,0.0,0.0,1.0
1229,69,NIG,0,1,0,1,2016,0.0,0.0,1.0,1.0
1230,69,PHI,0,1,0,1,2016,0.0,1.0,0.0,1.0
1231,69,QAT,0,1,0,1,2016,0.0,1.0,1.0,2.0
1232,74,NOR,0,0,4,4,2016,2.0,1.0,1.0,4.0
1233,75,EGY,0,0,3,3,2016,0.0,3.0,1.0,4.0
1234,75,TUN,0,0,3,3,2016,2.0,0.0,1.0,3.0
1235,77,ISR,0,0,2,2,2016,0.0,0.0,1.0,1.0
1236,78,AUT,0,0,1,1,2016,0.0,1.0,2.0,3.0
1237,78,DOM,0,0,1,1,2016,1.0,1.0,0.0,2.0
1238,78,EST,0,0,1,1,2016,0.0,1.0,1.0,2.0
1239,78,FIN,0,0,1,1,2016,0.0,2.0,1.0,3.0
1240,78,MAR,0,0,1,1,2016,0.0,0.0,1.0,1.0
1241,78,NGR,0,0,1,1,2016,0.0,3.0,2.0,5.0
1242,78,POR,0,0,1,1,2016,0.0,1.0,0.0,1.0
1243,78,TTO,0,0,1,1,2016,1.0,1.0,2.0,4.0
1244,78,UAE,0,0,1,1,2016,1.0,0.0,0.0,1.0
1245,1,USA,39,41,33,113,2020,46.0,37.0,38.0,121.0
1246,2,CHN,38,32,19,89,2020,26.0,18.0,26.0,70.0
1247,3,JPN,27,14,17,58,2020,12.0,8.0,21.0,41.0
1248,4,GBR,22,20,22,64,2020,27.0,23.0,17.0,67.0
1249,5,RUS,20,28,23,71,2020,19.0,17.0,20.0,56.0
1250,6,AUS,17,7,22,46,2020,8.0,11.0,10.0,29.0
1251,7,NED,10,12,14,36,2020,8.0,7.0,4.0,19.0
1252,8,FRA,10,12,11,33,2020,10.0,18.0,14.0,42.0
1253,9,GER,10,11,16,37,2020,17.0,10.0,15.0,42.0
1254,10,ITA,10,10,20,40,2020,8.0,12.0,8.0,28.0
1255,11,CAN,7,7,10,24,2020,4.0,3.0,15.0,22.0
1256,12,BRA,7,6,8,21,2020,7.0,6.0,6.0,19.0
1257,13,NZL,7,6,7,20,2020,4.0,9.0,5.0,18.0
1258,14,CUB,7,3,5,15,2020,5.0,2.0,4.0,11.0
1259,15,HUN,6,7,7,20,2020,8.0,3.0,4.0,15.0
1260,16,KOR,6,4,10,20,2020,9.0,3.0,9.0,21.0
1261,17,POL,4,5,5,14,2020,2.0,3.0,6.0,11.0
1262,18,CZE,4,4,3,11,2020,1.0,2.0,7.0,10.0
1263,19,KEN,4,4,2,10,2020,6.0,6.0,1.0,13.0
1264,20,NOR,4,2,2,8,2020,0.0,0.0,4.0,4.0
1265,21,JAM,4,1,4,9,2020,6.0,3.0,2.0,11.0
1266,22,ESP,3,8,6,17,2020,7.0,4.0,6.0,17.0
1267,23,SWE,3,6,0,9,2020,2.0,6.0,3.0,11.0
1268,24,SUI,3,4,6,13,2020,3.0,2.0,2.0,7.0
1269,25,DEN,3,4,4,11,2020,2.0,6.0,7.0,15.0
1270,26,CRO,3,3,2,8,2020,5.0,3.0,2.0,10.0
1271,27,IRI,3,2,2,7,2020,3.0,1.0,4.0,8.0
1272,28,SRB,3,1,5,9,2020,2.0,4.0,2.0,8.0
1273,29,BEL,3,1,3,7,2020,2.0,2.0,2.0,6.0
1274,30,BUL,3,1,2,6,2020,0.0,1.0,2.0,3.0
1275,31,SLO,3,1,1,5,2020,1.0,2.0,1.0,4.0
1276,32,UZB,3,0,2,5,2020,4.0,2.0,7.0,13.0
1277,33,GEO,2,5,1,8,2020,2.0,1.0,4.0,7.0
1278,34,TPE,2,4,6,12,2020,1.0,0.0,2.0,3.0
1279,35,TUR,2,2,9,13,2020,1.0,3.0,4.0,8.0
1280,36,GRE,2,1,1,4,2020,3.0,1.0,2.0,6.0
1281,36,UGA,2,1,1,4,2020,1.0,0.0,0.0,1.0
1282,38,ECU,2,1,0,3,2020,0.0,1.0,0.0,1.0
1283,39,IRL,2,0,2,4,2020,0.0,2.0,0.0,2.0
1284,39,ISR,2,0,2,4,2020,0.0,0.0,2.0,2.0
1285,41,QAT,2,0,1,3,2020,0.0,1.0,0.0,1.0
1286,42,BAH,2,0,0,2,2020,1.0,0.0,1.0,2.0
1287,42,KOS,2,0,0,2,2020,1.0,0.0,0.0,1.0
1288,44,UKR,1,6,12,19,2020,2.0,5.0,4.0,11.0
1289,45,BLR,1,3,3,7,2020,1.0,4.0,4.0,9.0
1290,46,ROU,1,3,0,4,2020,1.0,1.0,2.0,4.0
1291,46,VEN,1,3,0,4,2020,0.0,2.0,1.0,3.0
1292,48,IND,1,2,4,7,2020,0.0,1.0,1.0,2.0
1293,49,HKG,1,2,3,6,2020,0.0,0.0,1.0,1.0
1294,50,PHI,1,2,1,4,2020,0.0,1.0,0.0,1.0
1295,50,SVK,1,2,1,4,2020,2.0,2.0,0.0,4.0
1296,52,RSA,1,2,0,3,2020,2.0,6.0,2.0,10.0
1297,53,AUT,1,1,5,7,2020,0.0,0.0,1.0,1.0
1298,54,EGY,1,1,4,6,2020,0.0,0.0,3.0,3.0
1299,55,INA,1,1,3,5,2020,1.0,2.0,0.0,3.0
1300,56,ETH,1,1,2,4,2020,1.0,2.0,5.0,8.0
1301,56,POR,1,1,2,4,2020,0.0,0.0,1.0,1.0
1302,58,TUN,1,1,0,2,2020,0.0,0.0,3.0,3.0
1303,59,EST,1,0,1,2,2020,0.0,0.0,1.0,1.0
1304,59,FIJ,1,0,1,2,2020,1.0,0.0,0.0,1.0
1305,59,LAT,1,0,1,2,2020,1.0,0.0,1.0,2.0
1306,59,THA,1,0,1,2,2020,2.0,2.0,2.0,6.0
1307,63,BER,1,0,0,1,2020,0.0,0.0,1.0,1.0
1308,63,MAR,1,0,0,1,2020,0.0,0.0,1.0,1.0
1309,63,PUR,1,0,0,1,2020,1.0,0.0,0.0,1.0
1310,66,COL,0,4,1,5,2020,3.0,2.0,3.0,8.0
1311,67,AZE,0,3,4,7,2020,1.0,7.0,10.0,18.0
1312,68,DOM,0,3,2,5,2020,0.0,0.0,1.0,1.0
1313,69,ARM,0,2,2,4,2020,1.0,3.0,0.0,4.0
1314,70,KGZ,0,2,1,3,2020,0.0,1.0,2.0,3.0
1315,71,MGL,0,1,3,4,2020,0.0,1.0,1.0,2.0
1316,72,ARG,0,1,2,3,2020,3.0,1.0,0.0,4.0
1317,72,SMR,0,1,2,3,2020,,,,
1318,74,JOR,0,1,1,2,2020,1.0,0.0,0.0,1.0
1319,74,MAS,0,1,1,2,2020,0.0,4.0,1.0,5.0
1320,74,NGR,0,1,1,2,2020,0.0,0.0,1.0,1.0
1321,77,BRN,0,1,0,1,2020,1.0,1.0,0.0,2.0
1322,77,KSA,0,1,0,1,2020,0.0,0.0,1.0,1.0
1323,77,LTU,0,1,0,1,2020,0.0,1.0,3.0,4.0
1324,77,NAM,0,1,0,1,2020,0.0,2.0,0.0,2.0
1325,77,MKD,0,1,0,1,2020,0.0,0.0,1.0,1.0
1326,77,TKM,0,1,0,1,2020,,,,
1327,83,KAZ,0,0,8,8,2020,2.0,5.0,10.0,17.0
1328,84,MEX,0,0,4,4,2020,0.0,3.0,2.0,5.0
1329,85,FIN,0,0,2,2,2020,0.0,0.0,1.0,1.0
1330,86,BOT,0,0,1,1,2020,0.0,1.0,0.0,1.0
1331,86,BUR,0,0,1,1,2020,,,,
1332,86,CIV,0,0,1,1,2020,1.0,0.0,1.0,2.0
1333,86,GHA,0,0,1,1,2020,0.0,0.0,1.0,1.0
1334,86,GRN,0,0,1,1,2020,0.0,1.0,0.0,1.0
1335,86,KUW,0,0,1,1,2020,0.0,0.0,1.0,1.0
1336,86,MDA,0,0,1,1,2020,0.0,0.0,1.0,1.0
1337,86,SYR,0,0,1,1,2020,0.0,0.0,1.0,1.0
1338,1,USA,40,44,42,126,2024,39.0,41.0,33.0,113.0
1339,2,CHN,40,27,24,91,2024,38.0,32.0,19.0,89.0
1340,3,JPN,20,12,13,45,2024,27.0,14.0,17.0,58.0
1341,4,AUS,18,19,16,53,2024,17.0,7.0,22.0,46.0
1342,5,FRA,16,26,22,64,2024,10.0,12.0,11.0,33.0
1343,6,NED,15,7,12,34,2024,10.0,12.0,14.0,36.0
1344,7,GBR,14,22,29,65,2024,22.0,20.0,22.0,64.0
1345,8,KOR,13,9,10,32,2024,6.0,4.0,10.0,20.0
1346,9,ITA,12,13,15,40,2024,10.0,10.0,20.0,40.0
1347,10,GER,12,13,8,33,2024,10.0,11.0,16.0,37.0
1348,11,NZL,10,7,3,20,2024,7.0,6.0,7.0,20.0
1349,12,CAN,9,7,11,27,2024,7.0,7.0,10.0,24.0
1350,13,UZB,8,2,3,13,2024,3.0,0.0,2.0,5.0
1351,14,HUN,6,7,6,19,2024,6.0,7.0,7.0,20.0
1352,15,ESP,5,4,9,18,2024,3.0,8.0,6.0,17.0
1353,16,SWE,4,4,3,11,2024,3.0,6.0,0.0,9.0
1354,17,KEN,4,2,5,11,2024,4.0,4.0,2.0,10.0
1355,18,NOR,4,1,3,8,2024,4.0,2.0,2.0,8.0
1356,19,IRL,4,0,3,7,2024,2.0,0.0,2.0,4.0
1357,20,BRA,3,7,10,20,2024,7.0,6.0,8.0,21.0
1358,21,IRI,3,6,3,12,2024,3.0,2.0,2.0,7.0
1359,22,UKR,3,5,4,12,2024,1.0,6.0,12.0,19.0
1360,23,ROU,3,4,2,9,2024,1.0,3.0,0.0,4.0
1361,24,GEO,3,3,1,7,2024,2.0,5.0,1.0,8.0
1362,25,BEL,3,1,6,10,2024,3.0,1.0,3.0,7.0
1363,26,BUL,3,1,3,7,2024,3.0,1.0,2.0,6.0
1364,27,SRB,3,1,1,5,2024,3.0,1.0,5.0,9.0
1365,28,CZE,3,0,2,5,2024,4.0,4.0,3.0,11.0
1366,29,DEN,2,2,5,9,2024,3.0,4.0,4.0,11.0
1367,30,AZE,2,2,3,7,2024,0.0,3.0,4.0,7.0
1368,30,CRO,2,2,3,7,2024,3.0,3.0,2.0,8.0
1369,32,CUB,2,1,6,9,2024,7.0,3.0,5.0,15.0
1370,33,BRN,2,1,1,4,2024,0.0,1.0,0.0,1.0
1371,34,SLO,2,1,0,3,2024,3.0,1.0,1.0,5.0
1372,35,TPE,2,0,5,7,2024,2.0,4.0,6.0,12.0
1373,36,AUT,2,0,3,5,2024,1.0,1.0,5.0,7.0
1374,37,HKG,2,0,2,4,2024,1.0,2.0,3.0,6.0
1375,37,PHI,2,0,2,4,2024,1.0,2.0,1.0,4.0
1376,39,ALG,2,0,1,3,2024,0.0,2.0,0.0,2.0
1377,39,INA,2,0,1,3,2024,1.0,1.0,3.0,5.0
1378,41,ISR,1,5,1,7,2024,2.0,0.0,2.0,4.0
1379,42,POL,1,4,5,10,2024,4.0,5.0,5.0,14.0
1380,43,KAZ,1,3,3,7,2024,0.0,0.0,8.0,8.0
1381,44,JAM,1,3,2,6,2024,4.0,1.0,4.0,9.0
1382,44,RSA,1,3,2,6,2024,1.0,2.0,0.0,3.0
1383,44,THA,1,3,2,6,2024,1.0,0.0,1.0,2.0
1384,47,ETH,1,3,0,4,2024,1.0,1.0,2.0,4.0
1385,48,SUI,1,2,5,8,2024,3.0,4.0,6.0,13.0
1386,49,ECU,1,2,2,5,2024,2.0,1.0,0.0,3.0
1387,50,POR,1,2,1,4,2024,1.0,1.0,2.0,4.0
1388,51,GRE,1,1,6,8,2024,2.0,1.0,1.0,4.0
1389,52,ARG,1,1,1,3,2024,0.0,1.0,2.0,3.0
1390,52,EGY,1,1,1,3,2024,1.0,1.0,4.0,6.0
1391,52,TUN,1,1,1,3,2024,1.0,1.0,0.0,2.0
1392,55,BOT,1,1,0,2,2024,0.0,0.0,1.0,1.0
1393,55,CHI,1,1,0,2,2024,0.0,1.0,0.0,1.0
1394,55,LCA,1,1,0,2,2024,,,,
1395,55,UGA,1,1,0,2,2024,2.0,1.0,1.0,4.0
1396,59,DOM,1,0,2,3,2024,0.0,3.0,2.0,5.0
1397,60,GUA,1,0,1,2,2024,0.0,1.0,0.0,1.0
1398,60,MAR,1,0,1,2,2024,1.0,0.0,0.0,1.0
1399,62,DMA,1,0,0,1,2024,,,,
1400,62,PAK,1,0,0,1,2024,0.0,0.0,1.0,1.0
1401,64,TUR,0,3,5,8,2024,2.0,2.0,9.0,13.0
1402,65,MEX,0,3,2,5,2024,0.0,0.0,4.0,4.0
1403,66,ARM,0,3,1,4,2024,0.0,2.0,2.0,4.0
1404,66,COL,0,3,1,4,2024,0.0,4.0,1.0,5.0
1405,68,KGZ,0,2,4,6,2024,0.0,2.0,1.0,3.0
1406,68,PRK,0,2,4,6,2024,2.0,3.0,2.0,7.0
1407,70,LTU,0,2,2,4,2024,0.0,1.0,0.0,1.0
1408,71,IND,0,1,5,6,2024,1.0,2.0,4.0,7.0
1409,72,MDA,0,1,3,4,2024,0.0,0.0,1.0,1.0
1410,73,KOS,0,1,1,2,2024,2.0,0.0,0.0,2.0
1411,74,CYP,0,1,0,1,2024,0.0,1.0,0.0,1.0
1412,74,FIJ,0,1,0,1,2024,1.0,0.0,1.0,2.0
1413,74,JOR,0,1,0,1,2024,0.0,1.0,1.0,2.0
1414,74,MGL,0,1,0,1,2024,0.0,1.0,3.0,4.0
1415,74,PAN,0,1,0,1,2024,1.0,0.0,0.0,1.0
1416,79,TJK,0,0,3,3,2024,1.0,0.0,0.0,1.0
1417,80,ALB,0,0,2,2,2024,,,,
1418,80,GRN,0,0,2,2,2024,0.0,0.0,1.0,1.0
1419,80,MAS,0,0,2,2,2024,0.0,1.0,1.0,2.0
1420,80,PUR,0,0,2,2,2024,1.0,0.0,0.0,1.0
1421,84,CIV,0,0,1,1,2024,0.0,0.0,1.0,1.0
1422,84,CPV,0,0,1,1,2024,,,,
1423,84,EOR,0,0,1,1,2024,,,,
1424,84,PER,0,0,1,1,2024,0.0,1.0,0.0,1.0
1425,84,QAT,0,0,1,1,2024,2.0,0.0,1.0,3.0
1426,84,SGP,0,0,1,1,2024,1.0,0.0,0.0,1.0
1427,84,SVK,0,0,1,1,2024,1.0,2.0,1.0,4.0
1428,84,ZAM,0,0,1,1,2024,0.0,1.0,0.0,1.0
