,NOC,Gold,Silver,Bronze,Total,Year,Past_Gold,Past_Silver,Past_Bronze,Past_Total,Events_Count,Sports_Count,isHoster
286,NED,0,5,0,5,1952,5.0,2.0,9.0,16.0,180.0,180.0,0.0
287,IRI,0,3,4,7,1952,0.0,0.0,1.0,1.0,23.0,23.0,0.0
288,CHI,0,2,0,2,1952,0.0,1.0,0.0,1.0,82.0,82.0,0.0
289,AUT,0,1,1,2,1952,1.0,0.0,3.0,4.0,238.0,238.0,0.0
290,LBN,0,1,1,2,1952,nan,nan,nan,nan,nan,nan,0.0
291,ESP,0,1,0,1,1952,0.0,1.0,0.0,1.0,42.0,42.0,0.0
292,IRL,0,1,0,1,1952,2.0,0.0,0.0,2.0,25.0,25.0,0.0
293,MEX,0,1,0,1,1952,2.0,1.0,2.0,5.0,85.0,85.0,0.0
294,KOR,0,0,2,2,1952,0.0,0.0,2.0,2.0,22.0,22.0,0.0
295,TTO,0,0,2,2,1952,0.0,1.0,0.0,1.0,2.0,2.0,0.0
296,URU,0,0,2,2,1952,0.0,1.0,1.0,2.0,42.0,42.0,0.0
297,BUL,0,0,1,1,1952,nan,nan,nan,nan,179.0,179.0,0.0
298,EGY,0,0,1,1,1952,2.0,2.0,1.0,5.0,196.0,196.0,0.0
299,POR,0,0,1,1,1952,0.0,1.0,1.0,2.0,155.0,155.0,0.0
300,VEN,0,0,1,1,1952,nan,nan,nan,nan,63.0,63.0,0.0
301,URS,37,29,32,98,1956,22.0,30.0,19.0,71.0,411.0,411.0,0.0
302,USA,32,25,17,74,1956,40.0,19.0,17.0,76.0,443.0,443.0,0.0
303,AUS,13,8,14,35,1956,6.0,2.0,3.0,11.0,412.0,412.0,0.0
304,HUN,9,10,7,26,1956,16.0,10.0,16.0,42.0,197.0,197.0,0.0
305,ITA,8,8,9,25,1956,8.0,9.0,4.0,21.0,207.0,207.0,0.0
306,SWE,8,5,6,19,1956,12.0,13.0,10.0,35.0,186.0,186.0,0.0
307,GER,6,13,7,26,1956,0.0,7.0,17.0,24.0,261.0,261.0,0.0
308,GBR,6,7,11,24,1956,1.0,2.0,8.0,11.0,283.0,283.0,0.0
309,ROU,5,3,5,13,1956,1.0,1.0,2.0,4.0,103.0,103.0,0.0
310,JPN,4,10,5,19,1956,1.0,6.0,2.0,9.0,222.0,222.0,0.0
311,FRA,4,4,6,14,1956,6.0,6.0,6.0,18.0,227.0,227.0,0.0
312,TUR,3,2,2,7,1956,2.0,0.0,1.0,3.0,28.0,28.0,0.0
313,FIN,3,1,11,15,1956,6.0,3.0,13.0,22.0,147.0,147.0,0.0
314,IRI,2,2,1,5,1956,0.0,3.0,4.0,7.0,17.0,17.0,0.0
315,CAN,2,1,3,6,1956,1.0,2.0,0.0,3.0,150.0,150.0,0.0
316,NZL,2,0,0,2,1956,1.0,0.0,2.0,3.0,57.0,57.0,0.0
317,POL,1,4,4,9,1956,1.0,2.0,1.0,4.0,118.0,118.0,0.0
318,TCH,1,4,1,6,1956,7.0,3.0,3.0,13.0,161.0,161.0,0.0
319,BUL,1,3,1,5,1956,0.0,0.0,1.0,1.0,82.0,82.0,0.0
320,DEN,1,2,1,4,1956,2.0,1.0,3.0,6.0,51.0,51.0,0.0
321,IRL,1,1,3,5,1956,0.0,1.0,0.0,1.0,25.0,25.0,0.0
322,NOR,1,0,2,3,1956,3.0,2.0,0.0,5.0,29.0,29.0,0.0
323,MEX,1,0,1,2,1956,0.0,1.0,0.0,1.0,36.0,36.0,0.0
324,BRA,1,0,0,1,1956,1.0,0.0,2.0,3.0,63.0,63.0,0.0
325,IND,1,0,0,1,1956,1.0,0.0,1.0,2.0,79.0,79.0,0.0
326,YUG,0,3,0,3,1956,1.0,2.0,0.0,3.0,37.0,37.0,0.0
327,CHI,0,2,2,4,1956,0.0,2.0,0.0,2.0,43.0,43.0,0.0
328,BEL,0,2,0,2,1956,2.0,2.0,0.0,4.0,82.0,82.0,0.0
329,ARG,0,1,1,2,1956,1.0,2.0,2.0,5.0,44.0,44.0,0.0
330,KOR,0,1,1,2,1956,0.0,0.0,2.0,2.0,36.0,36.0,0.0
331,ISL,0,1,0,1,1956,nan,nan,nan,nan,2.0,2.0,0.0
332,PAK,0,1,0,1,1956,nan,nan,nan,nan,79.0,79.0,0.0
333,RSA,0,0,4,4,1956,2.0,4.0,4.0,10.0,90.0,90.0,0.0
334,AUT,0,0,2,2,1956,0.0,1.0,1.0,2.0,57.0,57.0,0.0
335,BAH,0,0,1,1,1956,nan,nan,nan,nan,5.0,5.0,0.0
336,GRE,0,0,1,1,1956,0.0,1.0,0.0,1.0,16.0,16.0,0.0
337,SUI,0,0,1,1,1956,2.0,6.0,6.0,14.0,18.0,18.0,0.0
338,URU,0,0,1,1,1956,0.0,0.0,2.0,2.0,29.0,29.0,0.0
339,URS,43,29,31,103,1960,37.0,29.0,32.0,98.0,414.0,414.0,0.0
340,USA,34,21,16,71,1960,32.0,25.0,17.0,74.0,428.0,428.0,0.0
341,ITA,13,10,13,36,1960,8.0,8.0,9.0,25.0,402.0,402.0,0.0
342,GER,12,19,11,42,1960,6.0,13.0,7.0,26.0,425.0,425.0,0.0
343,AUS,8,8,6,22,1960,13.0,8.0,14.0,35.0,280.0,280.0,0.0
344,TUR,7,2,0,9,1960,3.0,2.0,2.0,7.0,58.0,58.0,0.0
345,HUN,6,8,7,21,1960,9.0,10.0,7.0,26.0,312.0,312.0,0.0
346,JPN,4,7,7,18,1960,4.0,10.0,5.0,19.0,278.0,278.0,0.0
347,POL,4,6,11,21,1960,1.0,4.0,4.0,9.0,307.0,307.0,0.0
348,TCH,3,2,3,8,1960,1.0,4.0,1.0,6.0,202.0,202.0,0.0
349,ROU,3,1,6,10,1960,5.0,3.0,5.0,13.0,156.0,156.0,0.0
350,GBR,2,6,14,22,1960,6.0,7.0,11.0,24.0,389.0,389.0,0.0
351,DEN,2,3,1,6,1960,1.0,2.0,1.0,4.0,109.0,109.0,0.0
352,NZL,2,0,1,3,1960,2.0,0.0,0.0,2.0,47.0,47.0,0.0
353,BUL,1,3,3,7,1960,1.0,3.0,1.0,5.0,183.0,183.0,0.0
354,SWE,1,2,3,6,1960,8.0,5.0,6.0,19.0,258.0,258.0,0.0
355,FIN,1,1,3,5,1960,3.0,1.0,11.0,15.0,219.0,219.0,0.0
356,AUT,1,1,0,2,1960,0.0,0.0,2.0,2.0,198.0,198.0,0.0
357,YUG,1,1,0,2,1960,0.0,3.0,0.0,3.0,185.0,185.0,0.0
358,PAK,1,0,1,2,1960,0.0,1.0,0.0,1.0,53.0,53.0,0.0
359,ETH,1,0,0,1,1960,nan,nan,nan,nan,15.0,15.0,0.0
360,GRE,1,0,0,1,1960,0.0,0.0,1.0,1.0,59.0,59.0,0.0
361,NOR,1,0,0,1,1960,1.0,0.0,2.0,3.0,50.0,50.0,0.0
362,SUI,0,3,3,6,1960,0.0,0.0,1.0,1.0,221.0,221.0,0.0
363,FRA,0,2,3,5,1960,4.0,4.0,6.0,14.0,363.0,363.0,0.0
364,BEL,0,2,2,4,1960,0.0,2.0,0.0,2.0,150.0,150.0,0.0
365,IRI,0,1,3,4,1960,2.0,2.0,1.0,5.0,24.0,24.0,0.0
366,NED,0,1,2,3,1960,0.0,5.0,0.0,5.0,160.0,160.0,0.0
367,RSA,0,1,2,3,1960,0.0,0.0,4.0,4.0,72.0,72.0,0.0
368,ARG,0,1,1,2,1960,0.0,1.0,1.0,2.0,116.0,116.0,0.0
369,EGY,0,1,1,2,1960,0.0,0.0,1.0,1.0,nan,nan,0.0
370,CAN,0,1,0,1,1960,2.0,1.0,3.0,6.0,140.0,140.0,0.0
371,TPE,0,1,0,1,1960,nan,nan,nan,nan,31.0,31.0,0.0
372,GHA,0,1,0,1,1960,nan,nan,nan,nan,15.0,15.0,0.0
373,IND,0,1,0,1,1960,1.0,0.0,0.0,1.0,49.0,49.0,0.0
374,MAR,0,1,0,1,1960,nan,nan,nan,nan,111.0,111.0,0.0
375,POR,0,1,0,1,1960,0.0,0.0,1.0,1.0,109.0,109.0,0.0
376,SGP,0,1,0,1,1960,nan,nan,nan,nan,5.0,5.0,0.0
377,BRA,0,0,2,2,1960,1.0,0.0,0.0,1.0,86.0,86.0,0.0
378,ESP,0,0,1,1,1960,0.0,1.0,0.0,1.0,238.0,238.0,0.0
379,IRQ,0,0,1,1,1960,nan,nan,nan,nan,28.0,28.0,0.0
380,MEX,0,0,1,1,1960,1.0,0.0,1.0,2.0,110.0,110.0,0.0
381,VEN,0,0,1,1,1960,0.0,0.0,1.0,1.0,54.0,54.0,0.0
382,USA,36,26,28,90,1964,34.0,21.0,16.0,71.0,492.0,492.0,0.0
383,URS,30,31,35,96,1964,43.0,29.0,31.0,103.0,463.0,463.0,0.0
384,JPN,16,5,8,29,1964,4.0,7.0,7.0,18.0,456.0,456.0,0.0
385,GER,10,22,18,50,1964,12.0,19.0,11.0,42.0,478.0,478.0,0.0
386,ITA,10,10,7,27,1964,13.0,10.0,13.0,36.0,256.0,256.0,0.0
387,HUN,10,7,5,22,1964,6.0,8.0,7.0,21.0,319.0,319.0,0.0
388,POL,7,6,10,23,1964,4.0,6.0,11.0,21.0,240.0,240.0,0.0
389,AUS,6,2,10,18,1964,8.0,8.0,6.0,22.0,392.0,392.0,0.0
390,TCH,5,6,3,14,1964,3.0,2.0,3.0,8.0,187.0,187.0,0.0
391,GBR,4,12,2,18,1964,2.0,6.0,14.0,22.0,301.0,301.0,0.0
392,BUL,3,5,2,10,1964,1.0,3.0,3.0,7.0,116.0,116.0,0.0
393,FIN,3,0,2,5,1964,1.0,1.0,3.0,5.0,151.0,151.0,0.0
394,NZL,3,0,2,5,1964,2.0,0.0,1.0,3.0,88.0,88.0,0.0
395,ROU,2,4,6,12,1964,3.0,1.0,6.0,10.0,232.0,232.0,0.0
396,NED,2,4,4,10,1964,0.0,1.0,2.0,3.0,158.0,158.0,0.0
397,TUR,2,3,1,6,1964,7.0,2.0,0.0,9.0,25.0,25.0,0.0
398,SWE,2,2,4,8,1964,1.0,2.0,3.0,6.0,175.0,175.0,0.0
399,DEN,2,1,3,6,1964,2.0,3.0,1.0,6.0,71.0,71.0,0.0
400,YUG,2,1,2,5,1964,1.0,1.0,0.0,2.0,123.0,123.0,0.0
401,BEL,2,0,1,3,1964,0.0,2.0,2.0,4.0,74.0,74.0,0.0
402,FRA,1,8,6,15,1964,0.0,2.0,3.0,5.0,214.0,214.0,0.0
403,CAN,1,2,1,4,1964,0.0,1.0,0.0,1.0,194.0,194.0,0.0
404,SUI,1,2,1,4,1964,0.0,3.0,3.0,6.0,129.0,129.0,0.0
405,BAH,1,0,0,1,1964,0.0,0.0,1.0,1.0,12.0,12.0,0.0
406,ETH,1,0,0,1,1964,1.0,0.0,0.0,1.0,19.0,19.0,0.0
407,IND,1,0,0,1,1964,0.0,1.0,0.0,1.0,111.0,111.0,0.0
408,KOR,0,2,1,3,1964,0.0,1.0,1.0,2.0,240.0,240.0,0.0
409,TTO,0,1,2,3,1964,0.0,0.0,2.0,2.0,18.0,18.0,0.0
410,TUN,0,1,1,2,1964,nan,nan,nan,nan,12.0,12.0,0.0
411,ARG,0,1,0,1,1964,0.0,1.0,1.0,2.0,148.0,148.0,0.0
412,CUB,0,1,0,1,1964,0.0,1.0,0.0,1.0,76.0,76.0,0.0
413,PAK,0,1,0,1,1964,1.0,0.0,1.0,2.0,47.0,47.0,0.0
414,PHI,0,1,0,1,1964,0.0,0.0,1.0,1.0,70.0,70.0,0.0
415,IRI,0,0,2,2,1964,0.0,1.0,3.0,4.0,96.0,96.0,0.0
416,BRA,0,0,1,1,1964,0.0,0.0,2.0,2.0,65.0,65.0,0.0
417,GHA,0,0,1,1,1964,0.0,1.0,0.0,1.0,40.0,40.0,0.0
418,IRL,0,0,1,1,1964,1.0,1.0,3.0,5.0,35.0,35.0,0.0
419,KEN,0,0,1,1,1964,nan,nan,nan,nan,41.0,41.0,0.0
420,MEX,0,0,1,1,1964,0.0,0.0,1.0,1.0,128.0,128.0,0.0
421,NGR,0,0,1,1,1964,nan,nan,nan,nan,19.0,19.0,0.0
422,URU,0,0,1,1,1964,0.0,0.0,1.0,1.0,29.0,29.0,0.0
423,USA,45,28,34,107,1968,36.0,26.0,28.0,90.0,529.0,529.0,0.0
424,URS,29,32,30,91,1968,30.0,31.0,35.0,96.0,471.0,471.0,0.0
425,JPN,11,7,7,25,1968,16.0,5.0,8.0,29.0,289.0,289.0,0.0
426,HUN,10,10,12,32,1968,10.0,7.0,5.0,22.0,303.0,303.0,0.0
427,GDR,9,9,7,25,1968,nan,nan,nan,nan,346.0,346.0,0.0
428,FRA,7,3,5,15,1968,1.0,8.0,6.0,15.0,311.0,311.0,0.0
429,TCH,7,2,4,13,1968,5.0,6.0,3.0,14.0,203.0,203.0,0.0
430,FRG,5,11,10,26,1968,nan,nan,nan,nan,432.0,432.0,0.0
431,AUS,5,7,5,17,1968,6.0,2.0,10.0,18.0,224.0,224.0,0.0
432,GBR,5,5,3,13,1968,4.0,12.0,2.0,18.0,328.0,328.0,0.0
433,POL,5,2,11,18,1968,7.0,6.0,10.0,23.0,296.0,296.0,0.0
434,ROU,4,6,5,15,1968,2.0,4.0,6.0,12.0,100.0,100.0,0.0
435,ITA,3,4,9,16,1968,10.0,10.0,7.0,27.0,268.0,268.0,0.0
436,KEN,3,4,2,9,1968,0.0,0.0,1.0,1.0,50.0,50.0,0.0
437,MEX,3,3,3,9,1968,0.0,0.0,1.0,1.0,446.0,446.0,0.0
438,YUG,3,3,2,8,1968,2.0,1.0,2.0,5.0,130.0,130.0,0.0
439,NED,3,3,1,7,1968,2.0,4.0,4.0,10.0,140.0,140.0,0.0
440,BUL,2,4,3,9,1968,3.0,5.0,2.0,10.0,189.0,189.0,0.0
441,IRI,2,1,2,5,1968,0.0,0.0,2.0,2.0,14.0,14.0,0.0
442,SWE,2,1,1,4,1968,2.0,2.0,4.0,8.0,186.0,186.0,0.0
443,TUR,2,0,0,2,1968,2.0,3.0,1.0,6.0,30.0,30.0,0.0
444,DEN,1,4,3,8,1968,2.0,1.0,3.0,6.0,93.0,93.0,0.0
445,CAN,1,3,1,5,1968,1.0,2.0,1.0,4.0,291.0,291.0,0.0
446,FIN,1,2,1,4,1968,3.0,0.0,2.0,5.0,126.0,126.0,0.0
447,ETH,1,1,0,2,1968,1.0,0.0,0.0,1.0,26.0,26.0,0.0
448,NOR,1,1,0,2,1968,1.0,0.0,0.0,1.0,86.0,86.0,0.0
449,NZL,1,0,2,3,1968,3.0,0.0,2.0,5.0,65.0,65.0,0.0
450,TUN,1,0,1,2,1968,0.0,1.0,1.0,2.0,8.0,8.0,0.0
451,PAK,1,0,0,1,1968,0.0,1.0,0.0,1.0,15.0,15.0,0.0
452,VEN,1,0,0,1,1968,0.0,0.0,1.0,1.0,30.0,30.0,0.0
453,CUB,0,4,0,4,1968,0.0,1.0,0.0,1.0,227.0,227.0,0.0
454,AUT,0,2,2,4,1968,1.0,1.0,0.0,2.0,59.0,59.0,0.0
455,SUI,0,1,4,5,1968,1.0,2.0,1.0,4.0,155.0,155.0,0.0
456,MGL,0,1,3,4,1968,nan,nan,nan,nan,38.0,38.0,0.0
457,BRA,0,1,2,3,1968,0.0,0.0,1.0,1.0,89.0,89.0,0.0
458,BEL,0,1,1,2,1968,2.0,0.0,1.0,3.0,106.0,106.0,0.0
459,KOR,0,1,1,2,1968,0.0,2.0,1.0,3.0,66.0,66.0,0.0
460,UGA,0,1,1,2,1968,nan,nan,nan,nan,14.0,14.0,0.0
461,CMR,0,1,0,1,1968,nan,nan,nan,nan,5.0,5.0,0.0
462,JAM,0,1,0,1,1968,2.0,3.0,0.0,5.0,35.0,35.0,0.0
463,ARG,0,0,2,2,1968,0.0,1.0,0.0,1.0,132.0,132.0,0.0
464,GRE,0,0,1,1,1968,1.0,0.0,0.0,1.0,44.0,44.0,0.0
465,IND,0,0,1,1,1968,1.0,0.0,0.0,1.0,27.0,27.0,0.0
466,TPE,0,0,1,1,1968,0.0,1.0,0.0,1.0,93.0,93.0,0.0
467,URS,50,27,22,99,1972,29.0,32.0,30.0,91.0,531.0,531.0,0.0
468,USA,33,31,30,94,1972,45.0,28.0,34.0,107.0,578.0,578.0,0.0
469,GDR,20,23,23,66,1972,9.0,9.0,7.0,25.0,454.0,454.0,0.0
470,FRG,13,11,16,40,1972,5.0,11.0,10.0,26.0,587.0,587.0,0.0
471,JPN,13,8,8,29,1972,11.0,7.0,7.0,25.0,293.0,293.0,0.0
472,AUS,8,7,2,17,1972,5.0,7.0,5.0,17.0,266.0,266.0,0.0
473,POL,7,5,9,21,1972,5.0,2.0,11.0,18.0,418.0,418.0,0.0
474,HUN,6,13,16,35,1972,10.0,10.0,12.0,32.0,367.0,367.0,0.0
475,BUL,6,10,5,21,1972,2.0,4.0,3.0,9.0,226.0,226.0,0.0
476,ITA,5,3,10,18,1972,3.0,4.0,9.0,16.0,345.0,345.0,0.0
477,SWE,4,6,6,16,1972,2.0,1.0,1.0,4.0,186.0,186.0,0.0
478,GBR,4,5,9,18,1972,5.0,5.0,3.0,13.0,433.0,433.0,0.0
479,ROU,3,6,7,16,1972,4.0,6.0,5.0,15.0,258.0,258.0,0.0
480,CUB,3,1,4,8,1972,0.0,4.0,0.0,4.0,201.0,201.0,0.0
481,FIN,3,1,4,8,1972,1.0,2.0,1.0,4.0,133.0,133.0,0.0
482,NED,3,1,1,5,1972,3.0,3.0,1.0,7.0,199.0,199.0,0.0
483,FRA,2,4,7,13,1972,7.0,3.0,5.0,15.0,356.0,356.0,0.0
484,TCH,2,4,2,8,1972,7.0,2.0,4.0,13.0,274.0,274.0,0.0
485,KEN,2,3,4,9,1972,3.0,4.0,2.0,9.0,69.0,69.0,0.0
486,YUG,2,1,2,5,1972,3.0,3.0,2.0,8.0,212.0,212.0,0.0
487,NOR,2,1,1,4,1972,1.0,1.0,0.0,2.0,161.0,161.0,0.0
488,PRK,1,1,3,5,1972,nan,nan,nan,nan,83.0,83.0,0.0
489,NZL,1,1,1,3,1972,1.0,0.0,2.0,3.0,112.0,112.0,0.0
490,UGA,1,1,0,2,1972,0.0,1.0,1.0,2.0,35.0,35.0,0.0
491,DEN,1,0,0,1,1972,1.0,4.0,3.0,8.0,155.0,155.0,0.0
492,SUI,0,3,0,3,1972,0.0,1.0,4.0,5.0,265.0,265.0,0.0
493,CAN,0,2,3,5,1972,1.0,3.0,1.0,5.0,344.0,344.0,0.0
494,IRI,0,2,1,3,1972,2.0,1.0,2.0,5.0,56.0,56.0,0.0
495,BEL,0,2,0,2,1972,0.0,1.0,1.0,2.0,106.0,106.0,0.0
496,GRE,0,2,0,2,1972,0.0,0.0,1.0,1.0,66.0,66.0,0.0
497,AUT,0,1,2,3,1972,0.0,2.0,2.0,4.0,143.0,143.0,0.0
498,COL,0,1,2,3,1972,nan,nan,nan,nan,75.0,75.0,0.0
499,ARG,0,1,0,1,1972,0.0,0.0,2.0,2.0,123.0,123.0,0.0
500,KOR,0,1,0,1,1972,0.0,1.0,1.0,2.0,43.0,43.0,0.0
501,LBN,0,1,0,1,1972,0.0,1.0,1.0,2.0,nan,nan,0.0
502,MEX,0,1,0,1,1972,3.0,3.0,3.0,9.0,281.0,281.0,0.0
503,MGL,0,1,0,1,1972,0.0,1.0,3.0,4.0,44.0,44.0,0.0
504,PAK,0,1,0,1,1972,1.0,0.0,0.0,1.0,26.0,26.0,0.0
505,TUN,0,1,0,1,1972,1.0,0.0,1.0,2.0,37.0,37.0,0.0
506,TUR,0,1,0,1,1972,2.0,0.0,0.0,2.0,50.0,50.0,0.0
507,BRA,0,0,2,2,1972,0.0,1.0,2.0,3.0,104.0,104.0,0.0
508,ETH,0,0,2,2,1972,1.0,1.0,0.0,2.0,40.0,40.0,0.0
509,ESP,0,0,1,1,1972,0.0,0.0,1.0,1.0,162.0,162.0,0.0
510,GHA,0,0,1,1,1972,0.0,0.0,1.0,1.0,41.0,41.0,0.0
511,IND,0,0,1,1,1972,0.0,0.0,1.0,1.0,43.0,43.0,0.0
512,JAM,0,0,1,1,1972,0.0,1.0,0.0,1.0,51.0,51.0,0.0
513,NGR,0,0,1,1,1972,0.0,0.0,1.0,1.0,36.0,36.0,0.0
514,NIG,0,0,1,1,1972,nan,nan,nan,nan,4.0,4.0,0.0
515,URS,49,41,35,125,1976,50.0,27.0,22.0,99.0,574.0,574.0,0.0
516,GDR,40,25,25,90,1976,20.0,23.0,23.0,66.0,407.0,407.0,0.0
517,USA,34,35,25,94,1976,33.0,31.0,30.0,94.0,554.0,554.0,0.0
518,FRG,10,12,17,39,1976,13.0,11.0,16.0,40.0,452.0,452.0,0.0
519,JPN,9,6,10,25,1976,13.0,8.0,8.0,29.0,328.0,328.0,0.0
520,POL,7,6,13,26,1976,7.0,5.0,9.0,21.0,286.0,286.0,0.0
521,BUL,6,9,7,22,1976,6.0,10.0,5.0,21.0,254.0,254.0,0.0
522,CUB,6,4,3,13,1976,3.0,1.0,4.0,8.0,194.0,194.0,0.0
523,ROU,4,9,14,27,1976,3.0,6.0,7.0,16.0,255.0,255.0,0.0
524,HUN,4,5,13,22,1976,6.0,13.0,16.0,35.0,288.0,288.0,0.0
525,FIN,4,2,0,6,1976,3.0,1.0,4.0,8.0,108.0,108.0,0.0
526,SWE,4,1,0,5,1976,4.0,6.0,6.0,16.0,163.0,163.0,0.0
527,GBR,3,5,5,13,1976,4.0,5.0,9.0,18.0,353.0,353.0,0.0
528,ITA,2,7,4,13,1976,5.0,3.0,10.0,18.0,312.0,312.0,0.0
529,FRA,2,3,4,9,1976,2.0,4.0,7.0,13.0,302.0,302.0,0.0
530,YUG,2,3,3,8,1976,2.0,1.0,2.0,5.0,95.0,95.0,0.0
531,TCH,2,2,4,8,1976,2.0,4.0,2.0,8.0,251.0,251.0,0.0
532,NZL,2,1,1,4,1976,1.0,1.0,1.0,3.0,98.0,98.0,0.0
533,KOR,1,1,4,6,1976,0.0,1.0,0.0,1.0,51.0,51.0,0.0
534,SUI,1,1,2,4,1976,0.0,3.0,0.0,3.0,101.0,101.0,0.0
535,JAM,1,1,0,2,1976,0.0,0.0,1.0,1.0,36.0,36.0,0.0
536,NOR,1,1,0,2,1976,2.0,1.0,1.0,4.0,79.0,79.0,0.0
537,PRK,1,1,0,2,1976,1.0,1.0,3.0,5.0,40.0,40.0,0.0
538,DEN,1,0,2,3,1976,1.0,0.0,0.0,1.0,81.0,81.0,0.0
539,MEX,1,0,1,2,1976,0.0,1.0,0.0,1.0,137.0,137.0,0.0
540,TTO,1,0,0,1,1976,0.0,1.0,2.0,3.0,20.0,20.0,0.0
541,CAN,0,5,6,11,1976,0.0,2.0,3.0,5.0,531.0,531.0,0.0
542,BEL,0,3,3,6,1976,0.0,2.0,0.0,2.0,149.0,149.0,0.0
543,NED,0,2,3,5,1976,3.0,1.0,1.0,5.0,175.0,175.0,0.0
544,ESP,0,2,0,2,1976,0.0,0.0,1.0,1.0,160.0,160.0,0.0
545,POR,0,2,0,2,1976,0.0,1.0,0.0,1.0,36.0,36.0,0.0
546,AUS,0,1,4,5,1976,8.0,7.0,2.0,17.0,274.0,274.0,0.0
547,IRI,0,1,1,2,1976,0.0,2.0,1.0,3.0,104.0,104.0,0.0
548,MGL,0,1,0,1,1976,0.0,1.0,0.0,1.0,33.0,33.0,0.0
549,VEN,0,1,0,1,1976,1.0,0.0,0.0,1.0,56.0,56.0,0.0
550,BRA,0,0,2,2,1976,0.0,0.0,2.0,2.0,89.0,89.0,0.0
551,AUT,0,0,1,1,1976,0.0,1.0,2.0,3.0,73.0,73.0,0.0
552,BER,0,0,1,1,1976,nan,nan,nan,nan,20.0,20.0,0.0
553,PAK,0,0,1,1,1976,0.0,1.0,0.0,1.0,24.0,24.0,0.0
554,PUR,0,0,1,1,1976,0.0,0.0,1.0,1.0,112.0,112.0,0.0
555,THA,0,0,1,1,1976,nan,nan,nan,nan,62.0,62.0,0.0
556,URS,80,69,46,195,1980,49.0,41.0,35.0,125.0,660.0,660.0,0.0
557,GDR,47,37,42,126,1980,40.0,25.0,25.0,90.0,495.0,495.0,0.0
558,BUL,8,16,17,41,1980,6.0,9.0,7.0,22.0,397.0,397.0,0.0
559,CUB,8,7,5,20,1980,6.0,4.0,3.0,13.0,288.0,288.0,0.0
560,ITA,8,3,4,15,1980,2.0,7.0,4.0,13.0,203.0,203.0,0.0
561,HUN,7,10,15,32,1980,4.0,5.0,13.0,22.0,392.0,392.0,0.0
562,ROU,6,6,13,25,1980,4.0,9.0,14.0,27.0,339.0,339.0,0.0
563,FRA,6,5,3,14,1980,2.0,3.0,4.0,9.0,200.0,200.0,0.0
564,GBR,5,7,9,21,1980,3.0,5.0,5.0,13.0,328.0,328.0,0.0
565,POL,3,14,15,32,1980,7.0,6.0,13.0,26.0,418.0,418.0,0.0
566,SWE,3,3,6,12,1980,4.0,1.0,0.0,5.0,201.0,201.0,0.0
567,FIN,3,1,4,8,1980,4.0,2.0,0.0,6.0,125.0,125.0,0.0
568,TCH,2,3,9,14,1980,2.0,2.0,4.0,8.0,317.0,317.0,0.0
569,YUG,2,3,4,9,1980,2.0,3.0,3.0,8.0,180.0,180.0,0.0
570,AUS,2,2,5,9,1980,0.0,1.0,4.0,5.0,190.0,190.0,0.0
571,DEN,2,1,2,5,1980,1.0,0.0,2.0,3.0,60.0,60.0,0.0
